Running for 86400.0 seconds (86400 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts  uncore  pkg-0   core   psys   TCPU iwlwif INT340   SEN3 TCPU_P x86_pk acpitz   SEN2
17:17:45   9.9   0.0   3.9  86.1   0.1    4 198201  19861    1    1    1  45.03    0.01  10.17   3.17  31.69  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:46  11.7   0.0   3.1  85.2   0.0    6 174843  18049    3    3    3  42.26    0.00   9.57   2.70  29.99  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:47  11.2   0.0   3.8  85.0   0.0    4 187782  18357    3    3    3  43.04    0.00   9.79   2.90  30.34  47.05  20.00  34.05  47.00  47.00  48.00  34.05   0.00
17:17:48  11.4   0.0   3.7  85.0   0.0    1 177929  18429    3    3    3  42.86    0.01   9.78   2.87  30.20  47.05  20.00  34.05  47.00  47.00  48.00  34.05   0.00
17:17:49  11.2   0.0   3.4  85.4   0.0    5 189436  19240    7    3    7  43.78    0.01   9.96   2.91  30.91  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:50  11.0   0.0   4.1  84.9   0.0    3 194093  18478    5    3    5  43.71    0.00  10.05   3.08  30.58  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:51  11.0   0.0   3.9  85.0   0.0    4 188771  18842   11    3   11  43.74    0.01   9.98   2.98  30.77  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:52  12.4   0.0   4.0  83.6   0.0    4 198276  18390    9    3    9  43.16    0.00   9.98   2.98  30.20  47.05  20.00  34.05  47.00  47.00  48.00  34.05   0.00
17:17:53  10.9   0.0   3.6  85.4   0.0    4 161172  17817    4    3   10  41.18    0.00   9.28   2.41  29.49  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:54  11.0   0.0   3.4  85.6   0.0    7 170338  17906    5    3    5  42.19    0.00   9.42   2.45  30.33  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:55  10.7   0.0   3.6  85.7   0.0    3 157279  17482    4    2    4  39.76    0.01   9.02   2.09  28.64  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:56  10.6   0.0   3.6  85.8   0.0    3 161966  17480    1    1    1  40.02    0.01   9.13   2.18  28.70  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:57  11.0   0.0   3.4  85.5   0.0    6 163301  16897    6    4    6  39.81    0.00   9.01   2.06  28.73  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:58  11.1   0.0   3.7  85.2   0.0    4 171456  17742    4    4    4  40.91    0.00   9.30   2.29  29.31  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:17:59  11.2   0.0   3.2  85.5   0.0    3 169651  17794    3    3    3  41.32    0.00   9.47   2.57  29.28  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:18:00  10.7   0.0   3.5  85.9   0.0    7 183812  17882    3    3    3  42.02    0.00   9.64   2.69  29.69  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:18:01  11.7   0.0   3.1  85.2   0.0    5 158602  17454    3    3    3  41.53    0.00   9.44   2.66  29.44  48.05  20.00  34.05  48.00  48.00  48.00  34.05   0.00
17:18:02  10.2   0.0   3.6  86.3   0.0    7 160057  17087    3    3    3  39.96    0.00   9.19   2.30  28.47  48.05  20.00  34.05  48.00  48.00  48.00  35.05   0.00
17:18:03  10.5   0.0   3.3  86.1   0.0    4 178050  18295    3    3    3  42.58    0.00   9.62   2.63  30.33  48.05  20.00  34.05  48.00  48.00  48.00  35.05   0.00
17:18:04  11.0   0.0   3.4  85.7   0.0    7 168688  17689    3    3    3  41.63    0.00   9.55   2.69  29.40  48.05  20.00  34.05  48.00  48.00  48.00  35.05   0.00
17:18:05  10.5   0.0   3.3  86.2   0.0    7 179984  18300    3    3    3  42.27    0.00   9.60   2.65  30.02  48.05  20.00  34.05  48.00  48.00  48.00  35.05   0.00
17:18:06  13.9   0.0   3.9  82.2   0.0    6 205609  19441    3    3    3  45.67    0.00  10.57   3.44  31.65  49.05  20.00  34.05  49.00  49.00  48.00  35.05   0.00
17:18:07  12.9   0.0   3.8  83.2   0.0    6 165781  17988    3    3    3  42.92    0.01   9.86   2.96  30.09  48.05  20.00  34.05  48.00  48.00  48.00  35.05   0.00
17:18:08  14.7   0.0   3.3  82.0   0.0   20 175317  18102    1    1    3  45.18    0.01  10.47   3.56  31.15  48.05  20.00  34.05  48.00  48.00  49.00  35.05   0.00
17:18:09  12.6   0.0   3.8  83.5   0.0    3 175541  18310    2    2    2  44.98    0.00  10.28   3.26  31.44  48.05  20.00  34.05  48.00  48.00  49.00  35.05   0.00
17:18:10  12.7   0.0   3.6  83.7   0.0    5 172947  18340    5    5    6  44.15    0.01  10.13   3.15  30.85  48.05  20.00  34.05  48.00  48.00  49.00  35.05   0.00
17:18:11  13.0   0.0   3.7  83.3   0.0    4 168812  18253    4    4    4  44.12    0.01  10.26   3.35  30.50  48.05  20.00  34.05  48.00  48.00  49.00  35.05   0.00
17:18:12  12.9   0.0   3.1  84.0   0.0    1 166622  18752    4    4    4  43.99    0.01  10.17   3.26  30.54  49.05  20.00  34.05  49.00  49.00  49.00  35.05   0.00
17:18:13  14.1   0.0   3.6  82.3   0.0    6 177754  18438    5    5    5  44.54    0.01  10.30   3.33  30.91  48.05  20.00  34.05  49.00  49.00  49.00  35.05   0.00
17:18:14  15.0   0.0   3.4  81.6   0.0    2 169229  18234    5    5    5  44.58    0.01  10.36   3.36  30.85  48.05  20.00  34.05  48.00  48.00  49.00  35.05   0.00
17:18:15  14.2   0.0   3.5  82.3   0.0    6 190828  19134    3    3    3  45.96    0.00  10.65   3.56  31.75  48.05  20.00  34.05  48.00  48.00  49.00  35.05   0.00
17:18:16  13.1   0.0   3.1  83.8   0.0    3 151925  18310    8    3    6  43.03    0.00   9.96   3.11  29.96  48.05  20.00  34.05  48.00  48.00  49.00  35.05   0.00
17:18:17  13.1   0.0   3.6  83.2   0.0    5 171174  18290    3    3    4  43.22    0.00   9.89   2.88  30.45  49.05  20.00  34.05  49.00  49.00  49.00  35.05   0.00
17:18:18  12.9   0.0   3.5  83.6   0.0    9 166115  17972    3    3    4  43.03    0.00   9.99   3.06  29.97  48.05  20.00  34.05  48.00  48.00  49.00  35.05   0.00
17:18:19  14.8   0.0   3.2  82.1   0.0    6 165377  18585    2    2    2  45.19    0.00  10.49   3.56  31.14  48.05  20.00  34.05  48.00  48.00  49.00  35.05   0.00
17:18:20  12.0   0.0   3.5  84.5   0.0    2 168547  18313    1    1    1  43.73    0.00  10.03   3.04  30.66  49.05  20.00  35.05  49.00  49.00  49.00  35.05   0.00
17:18:21  12.8   0.0   3.0  84.1   0.0    7 165083  18477    3    3    3  43.68    0.00  10.05   3.14  30.48  49.05  20.00  35.05  49.00  49.00  49.00  35.05   0.00
17:18:22  15.1   0.0   3.7  81.2   0.0   10 170622  19021    3    3    3  45.06    0.00  10.45   3.45  31.16  49.05  20.00  35.05  49.00  49.00  49.00  35.05   0.00
17:18:23  14.0   0.0   3.1  82.9   0.0    3 164141  18114    3    3    3  43.60    0.00  10.11   3.18  30.31  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:24  12.4   0.0   3.4  84.1   0.1    2 180801  19308    5    3    5  45.78    0.00  10.53   3.45  31.80  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:25  13.6   0.0   3.8  82.6   0.0    3 170455  18665    3    3    3  45.79    0.00  10.69   3.72  31.38  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:26  12.9   0.0   4.3  82.7   0.0    9 182065  17864    3    3    3  44.91    0.00  10.42   3.42  31.07  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:27  14.1   0.0   3.7  82.2   0.0    4 172188  17960    3    3    3  45.76    0.00  10.75   3.80  31.21  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:28  16.7   0.0   3.8  79.4   0.1    9 191443  20158   14    4   10  49.51    0.00  11.59   4.47  33.45  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:29  15.8   0.0   3.8  80.3   0.0    4 172701  17189    3    3    4  47.13    0.01  11.17   4.23  31.72  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:30  17.7   0.0   3.9  78.4   0.0   11 191357  18190    2    2    5  48.12    0.00  11.50   4.44  32.17  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:31  15.8   0.0   3.9  80.4   0.0    5 193857  18380    2    2    2  46.95    0.01  11.11   4.04  31.78  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:32  10.2   0.0   4.0  85.7   0.0    1 182023  18828    4    4    4  44.48    0.01  10.22   3.18  31.07  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:33  14.6   0.0   3.9  81.4   0.0    3 188147  18642    5    5    5  47.01    0.01  10.95   3.85  32.19  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:34  15.9   0.0   4.2  79.9   0.0    4 176845  18776    6    6    5  46.66    0.01  10.92   3.91  31.82  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:35  13.4   0.0   3.4  83.2   0.0    3 161805  18449    4    4    4  44.66    0.00  10.42   3.49  30.75  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:36  14.2   0.0   3.9  82.0   0.0    7 179613  18464    3    3    3  44.64    0.00  10.34   3.33  30.96  49.05  20.00  35.05  49.00  49.00  50.00  35.05   0.00
17:18:37  12.2   0.0   3.7  84.1   0.0    9 184740  18491    3    3    3  43.37    0.00  10.02   3.00  30.34  49.05  20.00  35.05  49.00  49.00  50.00  36.05   0.00
